晶片號碼,遺失地點是否具體,是否包含毛色特徵,是否有清楚的特徵描述,遺失時間是否明確,資料是否適合公告,建議補充哪些資訊以增加協尋成功率,是否有附圖片
900073000425143,遺失地點是否具體,是否包含毛色特徵,是否有清楚的特徵描述,遺失時間是否明確,資料是否適合公告,建議補充哪些資訊以增加協尋成功率,"是否有附圖片
否"
992007300044506,是,是,否,是,是,請補充更詳細的特徵描述,是
900138001156313,是,否,否,是,否,請補充毛色、外觀、特徵,是
900073000605620,是,是,是,是,是,無,是
990000001407408,是,是,否,是,是,請補充更詳細的特徵描述、個性特徵與是否有項圈,是
900073000138809,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990002000010641,是,是,是,是,是,無,是
900073000563584,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990000000719774,是,否,否,是,否,請補充毛色、外觀、特徵,是
900138000501401,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
900138000501467,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
900138000503131,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
900108001376516,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
990002000032925,是,是,是,是,是,請補充個性特徵與是否有項圈,是
990002000032923,是,否,是,是,是,請補充毛色,是
990002000032979,是,否,是,是,是,請補充毛色,是
953010006776247,是,是,是,是,是,無,是
900215000788835,是,是,是,是,是,無,是
990000000209154,是,是,否,是,是,請補充更詳細的特徵描述,是
392144000090540,是,是,否,是,是,請補充更詳細的遺失地點,是
900215005804536,是,是,是,是,是,請補充個性特徵與是否有項圈,是
992007300166790,是,是,否,是,是,請補充更詳細的特徵描述,是
990002000086074,是,否,否,是,否,請補充毛色、外觀、特徵,是
981020000501108,是,是,是,是,是,請補充個性特徵,是
900138001342345,否,否,否,是,否,請補充遺失地點、外觀、特徵,是
900073000112629,否,是,否,是,是,請補充更詳細的特徵描述,是
900128001463556,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
900128001444428,否,否,否,是,否,請補充遺失地點、毛色、外觀、特徵,是
